devicecode,Level1,Level2,Level3,Level4,Weighted,sbbm,Color
30M00000024003203,新疆,750kV,750kV凤凰变电站,凤乌线B相高压电抗器,1,30M00000024003203,34
30M00000024003207,新疆,750kV,750kV巴州变电站,2#B相主变压器,1,30M00000024003207,34
30M00000024003208,新疆,750kV,750kV巴州变电站,2#C相主变压器,1,30M00000024003208,34
30M00000024003209,新疆,750kV,750kV巴州变电站,巴吐二线A相电抗器,1,30M00000024003209,34
30M00000024003190,新疆,750kV,750kV哈密变电站,哈敦一线B高压电抗器,1,30M00000024003190,34
30M00000024003194,新疆,750kV,750kV哈密变电站,哈敦二线C高压电抗器,1,30M00000024003194,34
30M00000036435571,新疆,750kV,750kV凤凰变电站,1#B相主变压器,1,30M00000036435571,34
30M00000024003183,新疆,750kV,750kV哈密变电站,哈吐一线A高压电抗器,1,30M00000024003183,34
30M00000024003185,新疆,750kV,750kV哈密变电站,哈吐一线C高压电抗器,1,30M00000024003185,34
30M00000024003188,新疆,750kV,750kV哈密变电站,哈吐二线C高压电抗器,1,30M00000024003188,34
30M00000024003184,新疆,750kV,750kV哈密变电站,哈吐一线B高压电抗器,1,30M00000024003184,34
30M00000024003204,新疆,750kV,750kV凤凰变电站,凤乌线C相高压电抗器,1,30M00000024003204,34
30M00000024003186,新疆,750kV,750kV哈密变电站,哈吐二线A高压电抗器,1,30M00000024003186,34
30M00000036476518,新疆,750kV,750kV烟墩变电站,2#A相主变压器,1,30M00000036476518,34
30M00000036476510,新疆,750kV,750kV烟墩变电站,2#B相主变压器,1,30M00000036476510,34
30M00000036476522,新疆,750kV,750kV烟墩变电站,2#C相主变压器,1,30M00000036476522,34
30M00000024003159,新疆,750kV,750kV乌北变电站,1#C相主变压器,1,30M00000024003159,34
30M00000024003169,新疆,750kV,750kV吐鲁番变电站,70913 A相高压电抗器,1,30M00000024003169,34
30M00000036466974,新疆,750kV,750kV乌苏变电站,苏伊线A相电抗器,1,30M00000036466974,34
30M00000036476468,新疆,750kV,750kV烟墩变电站,烟沙一线A相高压电抗器,1,30M00000036476468,34
30M00000036476502,新疆,750kV,750kV烟墩变电站,烟沙二线B相高压电抗器,1,30M00000036476502,34
30M00000036183454,新疆,750kV,750kV伊犁变电站,7121A相电抗器,1,30M00000036183454,34
30M00000036183482,新疆,750kV,750kV伊犁变电站,7121C相电抗器,1,30M00000036183482,34
30M00000039159444,新疆,750kV,750kV吐鲁番变电站,70911C相电抗器,1,30M00000039159444,34
30M00000042049066,新疆,750kV,750kV亚中变电站,7143A相电抗器,1,30M00000042049066,34
30M00000037658437,新疆,750kV,750kV吐鲁番变电站,70912 B相高压电抗器,1,30M00000037658437,34
30M00000037658447,新疆,750kV,750kV吐鲁番变电站,70912 C相高压电抗器,1,30M00000037658447,34
30M00000036476482,新疆,750kV,750kV烟墩变电站,烟沙一线C相高压电抗器,1,30M00000036476482,34
30M00000037658272,新疆,750kV,750kV吐鲁番变电站,70912 A相高压电抗器,1,30M00000037658272,34
30M00000042049050,新疆,750kV,750kV亚中变电站,7143B相电抗器,1,30M00000042049050,34
30M00000038785410,新疆,750kV,750kV达坂城变电站,2#A相主变压器,1,30M00000038785410,34
30M00000037657255,新疆,750kV,750kV吐鲁番变电站,70914B相高压电抗器,1,30M00000037657255,34
30M00000042715209,新疆,750kV,750kV巴楚变电站,巴楚7159B相电抗器,1,30M00000042715209,34
28M00000804488200,青海,330kV,花园变电站,#3主变压器,1,28M00000804488200,30
28M00000804490294,青海,750kV,日月山变电站,#2C相主变压器,1,28M00000804490294,30
28M00000803583601,青海,750kV,日月山变电站,月海Ⅰ线A相电抗器,1,28M00000803583601,30
28M00000803583618,青海,750kV,日月山变电站,月海Ⅰ线B相电抗器,1,28M00000803583618,30
28M00000012959529,青海,330kV,花土沟变电站,#3高压电抗器A相,1,28M00000012959529,30
28M00000012959926,青海,330kV,花土沟变电站,#3高压电抗器B相,1,28M00000012959926,30
28M00000012959929,青海,330kV,花土沟变电站,#3高压电抗器C相,1,28M00000012959929,30
28M00000012959547,青海,330kV,花土沟变电站,#2主变压器,1,28M00000012959547,30
28M00000803583672,青海,330kV,花园变电站,#1主变压器,1,28M00000803583672,30
28M00000803583661,青海,330kV,330kV那林格变电站,#1主变压器,1,28M00000803583661,30
28M00000804609618,青海,330kV,达坂变电站,#1主变压器,1,28M00000804609618,30
28M00000804481917,青海,330kV,唐乃亥变电站,#2高压A相电抗器,1,28M00000804481917,30
28M00000803583637,青海,330kV,330kV盐湖变电站,#1主变压器,1,28M00000803583637,30
28M00000803583659,青海,330kV,330kV盐湖变电站,#2主变压器,1,28M00000803583659,30
28M00000804481904,青海,330kV,唐乃亥变电站,#1主变压器,1,28M00000804481904,30
28M00000804481901,青海,330kV,唐乃亥变电站,#1高压A相电抗器,1,28M00000804481901,30
28M00000804481923,青海,330kV,唐乃亥变电站,#1高压B相电抗器,1,28M00000804481923,30
28M00000804902663,青海,330kV,明珠变电站,#1主变压器,1,28M00000804902663,30
28M00000804902646,青海,330kV,明珠变电站,#2主变压器,1,28M00000804902646,30
28M00000804199627,青海,330kV,330kV瀚海变,#3主变压器,1,28M00000804199627,30
28M00000803601867,青海,330kV,330kV那林格变电站,#1高压并联A相电抗器,1,28M00000803601867,30
28M00000803601872,青海,330kV,330kV那林格变电站,#1高压并联B相电抗器,1,28M00000803601872,30
28M00000805117456,青海,330kV,杏园变电站,#1主变压器,1,28M00000805117456,30
28M00000805117500,青海,330kV,杏园变电站,#2主变压器,1,28M00000805117500,30
28M00000805226222,青海,330kV,那林格变电站,#2A相电抗器,1,28M00000805226222,30
28M00000805226236,青海,330kV,那林格变电站,#2B相电抗器,1,28M00000805226236,30
28M00000805226238,青海,330kV,那林格变电站,#2C相电抗器,1,28M00000805226238,30
28M00000804020754,青海,330kV,康城330kV变电站,#2主变压器,1,28M00000804020754,30
28M00000804476926,青海,330kV,阿兰变电站,#2主变压器,1,28M00000804476926,30
28M00000803601882,青海,330kV,330kV那林格变电站,#1高压并联C相电抗器,1,28M00000803601882,30
28M00000012188778,青海,330kV,绿梁山变电站,#3主变压器,1,28M00000012188778,30
28M00000804212862,青海,330kV,圣湖330kV变电站,#2主变压器,1,28M00000804212862,30
28M00000804212899,青海,330kV,圣湖330kV变电站,#3主变压器,1,28M00000804212899,30
28M00000804214422,青海,330kV,丁香330kV变电站,#1主变压器,1,28M00000804214422,30
28M00000804214445,青海,330kV,丁香330kV变电站,#2主变压器,1,28M00000804214445,30
28M00000804214915,青海,330kV,湟源变电站,#1主变压器,1,28M00000804214915,30
28M00000804214908,青海,330kV,湟源变电站,#2主变压器,1,28M00000804214908,30
28M00000804214910,青海,330kV,湟源变电站,#3主变压器,1,28M00000804214910,30
28M00000804217461,青海,330kV,杨乐330kV变电站,330kV#1主变压器,1,28M00000804217461,30
28M00000804217444,青海,330kV,杨乐330kV变电站,330kV#2主变压器,1,28M00000804217444,30
28M00000804270486,青海,330kV,大石门330kV变电站,#1主变压器,1,28M00000804270486,30
28M00000804270488,青海,330kV,大石门330kV变电站,#2主变压器,1,28M00000804270488,30
28M00000804270505,青海,330kV,大石门330kV变电站,#3主变压器,1,28M00000804270505,30
28M00000804270507,青海,330kV,大石门330kV变电站,#4主变压器,1,28M00000804270507,30
28M00000803583620,青海,750kV,日月山变电站,月海Ⅰ线C相电抗器,1,28M00000803583620,30
28M00000803583606,青海,750kV,日月山变电站,月海Ⅱ线B相电抗器,1,28M00000803583606,30
28M00000803583608,青海,750kV,日月山变电站,月海Ⅱ线C相电抗器,1,28M00000803583608,30
28M00000803583622,青海,750kV,日月山变电站,月海Ⅱ线A相电抗器,1,28M00000803583622,30
28M00000804198536,青海,750kV,柴达木换流变电站,750kV#2主变C相主变压器,1,28M00000804198536,30
28M00000804198530,青海,750kV,柴达木换流变电站,柴海I线线路高压C相电抗器,1,28M00000804198530,30
28M00000804198548,青海,750kV,柴达木换流变电站,柴海II线线路高压A相电抗器,1,28M00000804198548,30
28M00000804198551,青海,750kV,柴达木换流变电站,柴海II线线路高压B相电抗器,1,28M00000804198551,30
28M00000804198553,青海,750kV,柴达木换流变电站,柴海II线线路高压C相电抗器,1,28M00000804198553,30
28M00000804198559,青海,750kV,柴达木换流变电站,柴鱼Ⅰ线线路高压A相电抗器,1,28M00000804198559,30
28M00000804198561,青海,750kV,柴达木换流变电站,柴鱼Ⅰ线线路高压B相电抗器,1,28M00000804198561,30
28M00000804198563,青海,750kV,柴达木换流变电站,柴鱼Ⅰ线线路高压C相电抗器,1,28M00000804198563,30
28M00000804198564,青海,750kV,柴达木换流变电站,柴鱼Ⅱ线线路高压A相电抗器,1,28M00000804198564,30
28M00000804198568,青海,750kV,柴达木换流变电站,柴鱼Ⅱ线线路高压C相电抗器,1,28M00000804198568,30
28M00000805227751,青海,750kV,官亭变电站,#3B相电抗器,1,28M00000805227751,30
28M00000805227753,青海,750kV,官亭变电站,#3C相电抗器,1,28M00000805227753,30
28M00000804198566,青海,750kV,柴达木换流变电站,柴鱼Ⅱ线线路高压B相电抗器,1,28M00000804198566,30
28M00000804198543,青海,750kV,柴达木换流变电站,柴海I线线路高压A相电抗器,1,28M00000804198543,30
28M00000804482222,青海,750kV,柴达木换流变电站,#1A相主变压器,1,28M00000804482222,30
28M00000804482340,青海,750kV,柴达木换流变电站,#1B相主变压器,1,28M00000804482340,30
28M00000804482366,青海,750kV,柴达木换流变电站,#1C相主变压器,1,28M00000804482366,30
28M00000804481925,青海,330kV,唐乃亥变电站,#1高压C相电抗器,1,28M00000804481925,30
28M00000804481929,青海,330kV,唐乃亥变电站,#2高压B相电抗器,1,28M00000804481929,30
28M00000804481919,青海,330kV,唐乃亥变电站,#2高压C相电抗器,1,28M00000804481919,30
27M00000018874193,甘肃,330kV,330kV先锋变电站,3号主变压器,1,27M00000018874193,18
27M00000019301174,甘肃,330kV,330kV瓜州变电站,2号主变压器,1,27M00000019301174,18
